country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",15-01-2026 12:00,19.786089,72.757971,OZONE,13,81,25
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",15-01-2026 12:00,19.9629,79.298714,PM2.5,40,58,50
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",15-01-2026 12:00,19.9629,79.298714,PM10,125,197,164
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",15-01-2026 12:00,19.9629,79.298714,NO2,32,35,33
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",15-01-2026 12:00,20.918946,74.776388,SO2,11,33,16
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",15-01-2026 12:00,22.7289,75.8076,NO2,1,3,2
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",15-01-2026 12:00,22.431,75.5213,NO2,57,162,128
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",15-01-2026 12:00,22.678,75.8559,NO2,9,13,11
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",15-01-2026 12:00,22.678,75.8559,CO,26,50,36
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",15-01-2026 12:00,22.678,75.8559,OZONE,8,22,12
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",15-01-2026 12:00,22.7084,75.8815,OZONE,13,318,318
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",15-01-2026 12:00,23.168606,79.932247,NH3,2,3,2
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",15-01-2026 12:00,23.168606,79.932247,SO2,7,19,11
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",15-01-2026 12:00,23.168606,79.932247,CO,22,108,50
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",15-01-2026 12:00,23.168606,79.932247,OZONE,39,143,77
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",15-01-2026 12:00,23.218135,79.95777,PM10,74,154,105
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",15-01-2026 12:00,23.218135,79.95777,NO2,12,112,45
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",15-01-2026 12:00,23.218135,79.95777,OZONE,64,111,80
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",15-01-2026 12:00,23.81748678,79.446246,SO2,43,60,51
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",15-01-2026 12:00,23.81748678,79.446246,CO,16,26,20
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",15-01-2026 12:00,22.9682591,76.064118,PM2.5,80,216,145
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",15-01-2026 12:00,22.9682591,76.064118,OZONE,27,103,39
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",15-01-2026 12:00,26.259242,78.216432,CO,5,116,37
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",15-01-2026 12:00,20.918946,74.776388,OZONE,16,71,25
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",15-01-2026 12:00,19.854616,75.905894,PM2.5,NA,NA,NA
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",15-01-2026 12:00,19.854616,75.905894,NH3,NA,NA,NA
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",15-01-2026 12:00,19.192056,72.9585188,NO2,4,9,5
